incident_id,fire_name,Water,Uninhabited_Veg,Uninhabited_NoVeg,Very_Low_Dens_Veg,Very_Low_Dens_NoVeg,Low_Dens_NoVeg,Med_Dens_NoVeg,High_Dens_NoVeg,Low_Dens_Intermix,Med_Dens_Intermix,High_Dens_Intermix,Low_Dens_Interface,Med_Dens_Interface,High_Dens_Interface,Total_Non_WUI_Acreage,Total_WUI_Acreage,Total_Fire_Acreage
603061,mills_canyon,1.367891896,14249.83937,38.8543367,7368.716308,0,0,0,0,340.6391728,2.64942548,0,0.240430853,0,0,21658.77791,343.5290292,22002.30691
638842,carlton,370.5018575,133958.209,435.2960471,115935.4467,636.6032363,29.86905033,0,0,5503.610622,104.1266332,0.608585175,1115.773045,323.3719548,23.41273877,251365.9259,7070.903579,258436.8293
647372,logging_unit,0,11439.79755,0,0,0,0,0,0,0,0,0,0,0,0,11439.79755,0,11452.12188
731475,lodge,0,11545.03481,0,849.1735439,0,0,0,0,0.612122979,0,0,0,0,0,12394.20835,0.612122979,12394.8205
738768,beaver_creek,6.246189144,31581.72484,25.39326317,3643.64978,0,0,0,0,4.118030028,33.02777363,0,0,0,0,35257.01407,37.14580366,35449.2197
744756,july,45.72387901,40348.86749,4.769523779,9727.356204,0,0,0,0,14.282032,0,0,0,0,0,50126.71709,14.282032,50140.99912
750232,snag_canyon,0,11891.41849,0,532.4515345,0,0,0,0,172.0529331,0,0,0,0,0,12423.87002,172.0529331,12595.92296
750301,south_fork,0,43096.91484,81.84844991,22985.28134,0,0,0,0,0,0,0,0,0,0,66164.04463,0,66164.04462
750343,little_bridge_creek,0,0,0,4955.864364,0,0,0,0,0,0,0,0,0,0,4955.864364,0,4955.864364
778078,duncan,0,0,0,888.4147218,0,0,0,0,0,0,0,0,0,0,888.4147218,0,888.4147218
782958,south_cle_elum_ridge,0,895.5962655,0,0,0,0,0,0,0,0,0,0,0,0,895.5962655,0,895.5962653
809568,happy_camp,42.92700118,77417.74949,51.7446949,57782.20314,0,0,0,0,174.0013008,0.883324602,0,6.56920699,0.910812334,0,135294.6243,182.3646447,135476.989
