INCIDENT_NAME,TOTAL_PERSONNEL,TOTAL_BUILDINGS_THREATENED,TOTAL_AIRCRAFT,LAT_LON_STR,MAX_FUEL,FINAL_COST,FINAL_AREA
ERSKINE,2079.0,2500.0,15.0,"35.6133333, -118.4658333",Brush,23000000.0,48019.0
MARINA,517.0,123.0,8.0,"37.9730556, -119.1361111",Grass,3781618.0,654.0
ASH,26.0,0.0,2.0,"36.405, -118.0852778",Timber,40000.0,110.0
Border 3,1969.0,1000.0,20.0,"32.6075, -116.6408333",Chaparral (6 feet),19500000.0,7609.0
Casitas,0.0,0.0,0.0,"34.3541667, -119.3041667",Brush,0.0,46.0
Pony,1002.0,15.0,15.0,"41.6230556, -123.5575",Heavy Logging Slash,20500000.0,2860.0
Stony,293.0,0.0,9.0,"36.0161111, -121.3213889",Grass,1500000.0,3000.0
Sherpa,2178.0,271.0,26.0,"34.5302778, -120.0538889",Chaparral (6 feet),19320000.0,7474.0
Pine,693.0,51.0,17.0,"34.63094, -119.2303",Chaparral (6 feet),15500000.0,2304.0
FORT,279.0,1.0,2.0,"34.9330556, -118.9255556",Grass,550156.0,554.0
Fiddler,241.0,50.0,1.0,"40.4052778, -122.7286111",Grass,314000.0,441.0
Coleman,1105.0,128.0,19.0,"36.1125, -121.2894444",Grass,6515000.0,2520.0
RESERVOIR,499.0,0.0,2.0,"39.1555556, -122.5711111",Brush,325000.0,215.0
COE,188.0,0.0,2.0,"37.1875, -121.3663889",Grass,500000.0,120.0
Lakes,4.0,0.0,0.0,"37.5936667, -119.5595",Timber,124203.99,1000.0
CEDAR,2467.0,1381.0,17.0,"35.7466667, -118.5863889",Grass,58446000.0,29322.0
GRADE,667.0,250.0,2.0,"41.7788889, -122.6094444",Chaparral (6 feet),2094722.0,710.0
COLYEAR,250.0,5.0,2.0,"40.0447222, -122.5786111",Brush,1163035.0,464.0
REY,2020.0,301.0,23.0,"34.5465, -119.8051",Chaparral (6 feet),29910000.0,32606.0
WHEATLAND,281.0,6.0,5.0,"34.2755556, -118.3513889",Chaparral (6 feet),435037.0,156.0
Carson,159.0,13.0,9.0,"38.6844444, -119.7533333",Brush,125000.0,29.0
CLARK,552.0,20.0,27.0,"37.7988889, -118.9225",Timber,3934872.0,2819.0
MOKELUMNE,50.0,1.0,2.0,"38.5780556, -120.0066667",Timber,250000.0,655.0
CAMP ROBERTS,134.0,0.0,0.0,"35.7736111, -120.8219444",Grass,541871.0,3712.0
Temecula,322.0,5.0,1.0,"33.4547222, -117.1358333",Brush,898575.0,139.0
Wolf Creek Meadow,2.0,0.0,0.0,"38.5916667, -119.7077778",Timber,8000.0,0.25
TULLEY,1490.0,40.0,11.0,"41.2002778, -123.7508333",Timber,14750000.0,599.0
CHIMNEY,589.0,24.0,12.0,"35.8408333, -118.0408333",Brush,2800000.0,1324.0
SODA,131.0,0.0,0.0,"35.0558333, -119.5958333",Grass,500000.0,2003.0
LOMA,2104.0,325.0,23.0,"37.1088889, -121.8480556",Chaparral (6 feet),16300000.0,4474.0
CLAYTON,2372.0,1500.0,15.0,"38.9, -122.6048333",Chaparral (6 feet),18580412.0,3929.0
ROCK CREEK,358.0,335.0,7.0,"37.525, -118.6377778",Brush,1100000.0,122.0
TRAILHEAD,2127.0,2600.0,17.0,"38.9691667, -120.8536111",Brush,,5646.0
LOWELL,2449.0,1800.0,18.0,"39.1919444, -120.8822222",Timber,18070860.0,2304.0
SAGE,683.0,2500.0,6.0,"34.3686111, -118.5563889",Grass,4500000.0,1109.0
SOBERANES,5636.0,2000.0,24.0,"36.4608333, -121.9005556",Chaparral (6 feet),262500000.0,132127.0
SAND,3379.0,10300.0,26.0,"34.4305556, -118.3980556",Chaparral (6 feet),35000000.0,41383.0
GAP,2118.0,160.0,20.0,"41.85311, -123.1151",Timber,29700000.0,33867.0
HAVILA,647.0,320.0,4.0,"35.4833333, -118.5330556",Chaparral (6 feet),1800000.0,304.0
MINERAL,1801.0,51.0,15.0,"36.0888889, -120.5216667",Grass,11318195.0,7050.0
SADDLE,1214.0,140.0,9.0,"40.7008333, -123.5080556",Heavy Logging Slash,,1542.0
Jacobson,339.0,2.0,8.0,"36.2233333, -118.5580556",Heavy Logging Slash,2336898.0,1702.0
BLUE CUT,2684.0,611.0,20.0,"34.2588889, -117.4611111",Chaparral (6 feet),20000.0,36274.0
AVOCADO,165.0,0.0,2.0,"36.7547222, -119.435",Grass,50000.0,132.0
RANGE,544.0,300.0,4.0,"35.2016667, -118.725",Grass,1450000.0,516.0
OLD,768.0,2500.0,4.0,"34.1352778, -118.6313889",Brush,2500000.0,465.0
CHIMNEY,4106.0,1898.0,30.0,"35.6697222, -121.0044444",Grass,78300000.0,46344.0
EARLY,90.0,0.0,1.0,"37.8838889, -119.9630556",Brush,150000.0,187.0
ONYX,280.0,30.0,3.0,"35.6758333, -118.2197222",Grass,550000.0,232.0
OLD,287.0,4.0,9.0,"37.7477778, -119.9925",Brush,700000.0,150.0
SPRING,192.0,0.0,7.0,"37.4, -119.02",Timber,666689.0,179.0
Rock,181.0,800.0,3.0,"39.9766667, -120.1011111",Timber,75000.0,700.0
Imperial,91.0,0.0,1.0,"33.03, -114.5241667",Brush,330000.0,100.0
ROBLAR,459.0,0.0,8.0,"33.4175, -117.3680556",Chaparral (6 feet),2000000.0,1245.0
PLEASANT,118.0,0.0,5.0,"34.39, -117.9027778",Grass,40000.0,6.5
Saddle,1626.0,325.0,10.0,"39.6766667, -121.5672222",Chaparral (6 feet),2800000.0,850.0
CURRY,554.0,25.0,2.0,"36.0822222, -120.4586111",Grass,2400000.0,2944.0
PHOENIX,91.0,0.0,2.0,"39.3741667, -120.5072222",Timber,350000.0,38.0
WILLARD,1786.0,625.0,14.0,"40.4144444, -120.7366667",Grass,11495469.0,2575.0
HORSESHOE,417.0,500.0,7.0,"36.4633333, -118.1358333",Brush,2697471.0,369.0
CROWN,28.0,1.0,0.0,"36.9502778, -118.8486111",Timber,256546.0,800.0
OWENS RIVER,636.0,20.0,10.0,"37.78, -118.9208333",Timber,4908589.0,5443.0
SACATA,581.0,0.0,10.0,"36.9291667, -119.2458333",Grass,3520000.0,2100.0
Hidden,137.0,0.0,0.0,"36.2583333, -118.6480556",Timber,685000.0,2768.0
Washington,303.0,50.0,0.0,"34.7405556, -120.5425",Chaparral (6 feet),300000.0,204.0
PILOT,1746.0,5600.0,13.0,"34.2883333, -117.2505556",Chaparral (6 feet),2800000.0,8110.0
BOGART,644.0,426.0,20.0,"33.9830556, -116.9538889",Chaparral (6 feet),2576000.0,1470.0
HOLY,439.0,15.0,10.0,"33.6747222, -117.5202778",Chaparral (6 feet),1700000.0,150.0
APPALOOSA,442.0,3.0,6.0,"38.0355556, -120.595",Chaparral (6 feet),1150465.0,310.0
WILLOW,373.0,150.0,9.0,"38.1902778, -120.6430556",Chaparral (6 feet),950250.0,450.0
Deer,1118.0,300.0,20.0,"35.361, -118.1208333",Grass,5000000.0,1785.0
METZ,347.0,5.0,2.0,"36.4138889, -121.25",Grass,825436.0,3876.0
BRADLEY,0.0,0.0,0.0,"35.8647222, -120.8177778",Chaparral (6 feet),10000.0,105.0
RESERVOIR,686.0,8.0,0.0,"34.1683333, -117.8997222",Chaparral (6 feet),7782367.0,1146.0
Fish,1404.0,1567.0,0.0,"34.1513889, -117.9341667",Chaparral (6 feet),,4900.0
Fish,935.0,864.0,15.0,"34.1441667, -117.9328333",Grass,7341153.0,4253.0
Meadow,1.0,0.0,0.0,"35.9863889, -118.5647222",Grass,650000.0,4347.0
HOWARD,237.0,0.0,5.0,"41.4386111, -120.8775",Grass,438878.0,380.0
Marek,226.0,0.0,4.0,"34.3188889, -118.3355556",Brush,95000.0,43.09
CANYON,1142.0,40.0,14.0,"34.7202778, -120.5502778",Chaparral (6 feet),15800000.0,12742.0
SOUP COMPLEX,979.0,1.0,24.0,"43.6166667, -116.2019444",Timber,0.0,2722.0
LONE PINE,225.0,0.0,0.0,"36.5838333, -118.1428333",Brush,150000.0,20.0
PACHECO,418.0,0.0,3.0,"38.0783333, -120.8713889",Grass,305897.0,341.0
GOOSE,1784.0,400.0,76.0,"37.0044444, -119.4947222",Chaparral (6 feet),10400000.0,2241.0
Slate,145.0,0.0,2.0,"36.0835, -118.5725",Heavy Logging Slash,2045511.0,2160.0
COLD,1625.0,52.0,11.0,"38.5241667, -122.0683333",Grass,10497869.0,5731.0
SAWMILL,1033.0,39.0,6.0,"38.8052778, -122.8102778",Grass,2200000.0,1547.0
TOBIN,624.0,45.0,8.0,"39.93285, -121.3217",Grass,,248.0
MARSHES,1232.0,61.0,4.0,"37.8088889, -120.3013889",Chaparral (6 feet),5813452.0,1080.0
Emerald,332.0,200.0,0.0,"38.9425, -120.0765",Timber,326989.0,176.0
